id,posting_date,account,amount,currency,description,status
ID-0039,2022-07-09,3000-Revenue,-10240.56,USD,Cunabula varius calculus benevolentia addo solio corporis urbs demergo volo.,posted
ID-0040,2025-03-19,4000-Expense,27092.19,GBP,Quidem apostolus adduco verumtamen provident theca dens angulus antea.,posted
ID-0041,2022-08-01,2000-AP,-840.55,USD,Censura thema colo deficio absum aequus crudelis.,posted
ID-0042,2023-08-08,2000-AP,19498.19,GBP,Adflicto denique amicitia carbo vos aranea deserunt quae subvenio.,posted
ID-0043,2020-01-22,2000-AP,1771.16,USD,Ademptio aeternus crux apparatus minima.,posted
ID-0044,2024-10-20,2000-AP,-33251.75,USD,Suffoco addo video admoneo hic sui ut summopere.,pending
ID-0045,2022-01-14,4000-Expense,-41988.52,GBP,Totidem defero sed est suus aggredior adulescens.,posted
ID-0046,2020-12-15,5000-COGS,-28078.6,GBP,Attonbitus testimonium soluta deripio itaque.,posted
ID-0047,2021-05-15,5000-COGS,47479.32,EUR,Sponte aequus adaugeo causa.,posted
ID-0048,2025-03-18,4000-Expense,24270.65,EUR,Correptius votum adhaero usque nihil.,posted
ID-0049,2024-05-08,2100-AR,37342.33,GBP,Charisma omnis verecundia bene qui quos.,posted
ID-0050,2020-10-15,4000-Expense,40903.26,USD,Volup attollo ultra deprimo.,posted
ID-0051,2025-03-23,2100-AR,1481.74,EUR,Ascit crinis volubilis causa solum communis terebro.,posted
ID-0052,2025-10-26,2100-AR,-26394.96,USD,Eius conduco tricesimus curvo.,posted
ID-0053,2023-09-14,4000-Expense,-33295.81,USD,Tabgo sonitus demo.,pending
ID-0054,2024-11-01,3000-Revenue,36827.13,USD,Centum adsuesco excepturi.,pending
ID-0055,2020-03-27,1000-Cash,-4780.1,GBP,Dignissimos adhuc arcesso vos vociferor.,posted
ID-0056,2025-09-17,3000-Revenue,36791.83,EUR,Deporto sopor apud adamo cohors succurro baiulus.,posted
ID-0057,2025-10-27,1000-Cash,17260.21,EUR,Atqui stultus tum vinco statua derideo quae ustulo molestias.,posted
ID-0058,2025-08-02,4000-Expense,17651.34,USD,Cruentus soleo amissio solus xiphias administratio voluptatum cum.,pending
ID-0059,2024-09-10,3000-Revenue,23844.92,GBP,Compello sopor titulus tempus theologus debeo.,pending
ID-0060,2020-09-20,3000-Revenue,-49424.14,USD,Crustulum sub creta deduco capio.,posted
