id,source_record_id,vendor,amount,currency,status,created_at,due_date
ID-0034,SOU-0034,"Schmitt, Collier and Kunze",43741.38,EUR,paid,2020-12-14,2023-08-30
ID-0035,SOU-0035,Will - Grady,26244.4,USD,rejected,2021-07-01,2021-08-19
ID-0036,SOU-0036,"Bergnaum, Berge and Lemke",41168.45,USD,paid,2020-02-17,2023-12-26
ID-0037,SOU-0037,"Bechtelar, Renner and O'Kon",19889.95,USD,approved,2025-10-31,2023-08-26
ID-0038,SOU-0038,Fahey Inc,85076.55,USD,approved,2020-09-08,2025-02-28
ID-0039,SOU-0039,"Little, Kuhic and Stark",66935.33,USD,approved,2023-11-27,2023-04-10
ID-0040,SOU-0040,Koelpin - Douglas,25936.22,USD,pending,2024-07-16,2023-02-12
ID-0041,SOU-0041,Strosin - Wyman,77224.05,USD,draft,2022-10-13,2025-06-16
ID-0042,SOU-0042,O'Reilly and Sons,38103.96,EUR,rejected,2021-03-22,2023-02-21
ID-0043,SOU-0043,Nicolas - Volkman,53349.58,USD,approved,2024-10-04,2021-11-25
ID-0044,SOU-0044,"Wyman, Denesik and Corwin",44088.31,USD,draft,2025-04-18,2024-10-27
ID-0045,SOU-0045,Wyman LLC,63503.66,USD,paid,2022-07-26,2020-12-21
ID-0046,SOU-0046,Reichel - Renner,18822.45,GBP,paid,2023-03-31,2024-04-05
ID-0047,SOU-0047,Koelpin - Shields,33587.28,USD,paid,2024-12-15,2020-08-08
ID-0048,SOU-0048,Klein - Mraz,35302.26,EUR,approved,2025-11-16,2023-10-22
ID-0049,SOU-0049,Pfannerstill - Steuber,22795.24,EUR,pending,2023-11-10,2024-03-01
ID-0050,SOU-0050,Bartoletti Inc,65350.96,GBP,paid,2024-08-06,2024-09-24
ID-0051,SOU-0051,Osinski LLC,11187.84,USD,approved,2025-03-10,2023-04-13
ID-0052,SOU-0052,Jones Group,74016.42,GBP,pending,2025-02-24,2021-10-02
ID-0053,SOU-0053,"Auer, Haag and Swaniawski",11346.78,EUR,approved,2020-07-30,2021-06-14
ID-0054,SOU-0054,Miller - Roberts,4909.46,GBP,paid,2024-01-03,2023-07-24
ID-0055,SOU-0055,"Fisher, McCullough and Lebsack",6457.72,EUR,approved,2020-09-08,2020-07-24
ID-0056,SOU-0056,"Thiel, Keeling and Ryan",60232.15,GBP,approved,2023-08-23,2023-10-15
ID-0057,SOU-0057,Langworth Group,38512.68,USD,approved,2025-09-14,2023-08-09
ID-0058,SOU-0058,"Bernier, Kozey and Gorczany",97156.12,USD,approved,2021-03-05,2023-08-31
ID-0059,SOU-0059,Abshire - Bashirian,10891.77,USD,paid,2023-06-07,2023-01-28
ID-0060,SOU-0060,Bogisich - Hegmann,50790.45,GBP,approved,2024-03-19,2025-12-16
