id,title,priority,status,assignee,created_at,category,sla_met
ID-0049,Vilicus ante utique voluntarius atqui.,P4,open,Lola Osinski,2024-11-09,billing,true
ID-0050,Aiunt torrens cicuta apparatus decerno sequi creator adopto patruus veniam.,P3,triaged,Rosa McKenzie,2024-10-19,network,false
ID-0051,Terreo patrocinor cupio vita hic pecco bos quidem.,P3,open,Nikko Farrell,2020-06-24,software,true
ID-0052,Balbus crepusculum admoneo cubicularis.,P3,in_progress,Bryon Berge,2023-06-11,network,false
ID-0053,Vitiosus administratio alter adinventitias audax hic similique.,P1,closed,Ben Champlin,2023-02-10,hardware,true
ID-0054,Stella vir aranea creber itaque aestus abeo spargo sapiente cunctatio.,P3,in_progress,Cindy Will,2024-05-16,hardware,true
ID-0055,Alo atrox thema spiculum.,P3,in_progress,Mr. Dwayne Sawayn PhD,2024-12-25,hardware,true
ID-0056,Volutabrum attollo thermae concido suus curia.,P3,closed,Amiya Connelly,2023-04-17,software,false
ID-0057,Appositus spero crustulum apparatus articulus vir utroque venustas vulgaris bellicus.,P3,resolved,Grace Mayer,2022-10-31,network,false
ID-0058,Talis acies conspergo termes.,P3,triaged,Rickey Monahan,2020-10-18,hardware,true
ID-0059,Doloribus civis absconditus derelinquo circumvenio tabernus acervus.,P3,closed,Bethany Lubowitz,2023-02-16,billing,true
ID-0060,Universe neque validus.,P3,closed,Tate Davis,2021-03-11,hardware,true
