id,posting_date,account,amount,currency,description,status
ID-0038,2024-07-01,5000-COGS,25871.53,EUR,Valetudo nihil ratione aro demitto sumptus cerno balbus.,posted
ID-0039,2021-06-13,2000-AP,-7514.92,GBP,Audeo aestus subito crebro traho soluta theca.,posted
ID-0040,2024-02-26,2000-AP,43906.85,EUR,Centum aufero suasoria blanditiis pariatur.,posted
ID-0041,2023-12-22,4000-Expense,27802.53,GBP,Alienus subnecto corona custodia.,posted
ID-0042,2021-07-22,1000-Cash,37918.58,USD,Adficio sopor commodi velociter valeo communis venia.,reversed
ID-0043,2024-12-14,5000-COGS,-25099.13,EUR,Alius vulticulus compello.,posted
ID-0044,2024-11-03,5000-COGS,49762.83,USD,Cunctatio aperio acerbitas.,posted
ID-0045,2024-09-13,3000-Revenue,-18722.2,EUR,Accedo tendo quia tempus.,posted
ID-0046,2025-01-08,3000-Revenue,6339.54,EUR,Ocer nobis vulariter temperantia decimus suffragium creta calco patria.,pending
ID-0047,2025-07-29,2100-AR,2767.75,USD,Vomica sodalitas thymum sumo optio adnuo deficio spero spiculum corroboro.,pending
ID-0048,2021-01-01,3000-Revenue,19088.4,GBP,Cetera aro repellat patruus attero sufficio deficio sordeo.,pending
ID-0049,2021-01-07,1000-Cash,27910.26,EUR,Tum thymbra vitium facilis deporto cuius arguo nam.,posted
ID-0050,2025-07-12,3000-Revenue,9284.02,EUR,Addo curo ago.,posted
ID-0051,2025-04-15,5000-COGS,15904.54,USD,Valde auxilium tabula cito thorax vulpes adamo velit qui.,reversed
ID-0052,2022-10-16,5000-COGS,-43760.6,EUR,Voluptates totidem ulterius.,pending
ID-0053,2020-07-05,2100-AR,-42896.52,USD,Delicate censura amaritudo aspicio.,posted
ID-0054,2025-11-02,4000-Expense,46776.15,EUR,Theologus comparo coepi candidus aperio.,posted
ID-0055,2022-02-17,4000-Expense,-43743.52,USD,Arca conicio urbs arma agnitio deorsum cognatus magnam thymum.,posted
ID-0056,2023-06-26,3000-Revenue,-35592.12,EUR,Depopulo agnitio degero cohibeo traho.,posted
ID-0057,2022-07-06,2100-AR,22500.61,EUR,Tergiversatio unus combibo fugiat tunc vox valetudo corrigo.,posted
ID-0058,2022-12-08,4000-Expense,-743.09,EUR,Conturbo unde cum complectus defetiscor tempus antea auxilium virgo.,posted
ID-0059,2023-05-29,3000-Revenue,-1037.55,EUR,Ipsum corrigo somniculosus ara.,posted
ID-0060,2021-02-10,2000-AP,-28129.02,USD,Circumvenio vestigium volubilis molestias aranea corrupti thema corona aiunt.,posted
