id,source_record_id,vendor,amount,currency,status,created_at,due_date
ID-0036,SOU-0036,Kihn - Dietrich,12642.42,JPY,pending,2022-11-14,2023-07-07
ID-0037,SOU-0037,Braun LLC,54480.05,USD,approved,2024-12-02,2020-04-01
ID-0038,SOU-0038,Hackett LLC,89803.74,EUR,approved,2024-05-19,2022-03-10
ID-0039,SOU-0039,Prohaska LLC,35926.29,GBP,draft,2021-11-23,2020-05-04
ID-0040,SOU-0040,"Padberg, Kling and Friesen",12132.69,USD,rejected,2022-04-08,2020-05-15
ID-0041,SOU-0041,Oberbrunner and Sons,45228.77,USD,approved,2020-09-09,2025-04-20
ID-0042,SOU-0042,Kihn LLC,6238.48,EUR,rejected,2023-11-23,2025-09-23
ID-0043,SOU-0043,McCullough - Cassin,39235.07,USD,paid,2021-04-02,2020-05-08
ID-0044,SOU-0044,Mayer Inc,80320.89,USD,draft,2023-05-25,2025-06-13
ID-0045,SOU-0045,Corwin Inc,59608.42,USD,rejected,2024-07-13,2023-07-09
ID-0046,SOU-0046,"Murray, Gottlieb and Swift",97096.94,USD,paid,2020-03-29,2022-06-07
ID-0047,SOU-0047,Osinski Inc,80986.54,JPY,draft,2025-11-23,2020-07-07
ID-0048,SOU-0048,"Kiehn, Becker and Hoppe",21711.64,USD,draft,2024-12-03,2024-12-16
ID-0049,SOU-0049,Luettgen and Sons,63182.73,EUR,approved,2022-06-26,2025-09-30
ID-0050,SOU-0050,Muller LLC,18565.35,USD,approved,2024-08-01,2023-02-21
ID-0051,SOU-0051,Kiehn - Douglas,38732.03,USD,pending,2023-01-26,2022-11-25
ID-0052,SOU-0052,Lakin Group,7208.45,USD,approved,2025-04-08,2023-05-07
ID-0053,SOU-0053,"Baumbach, O'Connell and Spinka",29731.58,USD,pending,2020-10-05,2020-09-27
ID-0054,SOU-0054,Zboncak LLC,94903.17,USD,pending,2023-04-30,2020-06-17
ID-0055,SOU-0055,Jenkins - Bailey,33603.62,USD,draft,2025-09-28,2023-08-06
ID-0056,SOU-0056,"Ferry, Schmeler and Krajcik",92251.19,USD,pending,2022-02-06,2024-09-11
ID-0057,SOU-0057,"Simonis, Jast and Schmidt",33485.85,EUR,approved,2023-06-21,2024-12-30
ID-0058,SOU-0058,"Pouros, Lowe and Zieme",13608.21,USD,pending,2020-10-18,2020-12-13
ID-0059,SOU-0059,"Zboncak, Ortiz and Herzog",59418.69,USD,pending,2022-10-31,2023-04-28
ID-0060,SOU-0060,Bailey Inc,78043.25,USD,pending,2024-03-03,2023-05-28
