id,posting_date,account,amount,currency,description,status
ID-0025,2024-04-19,1000-Cash,-42874.33,USD,Tabula conservo clibanus consectetur teres solvo audax atavus altus solutio.,posted
ID-0026,2021-08-03,1000-Cash,-41782.84,GBP,Tenus quibusdam creber basium animus.,posted
ID-0027,2024-08-24,3000-Revenue,3030.21,USD,Theologus clarus volva pauper non tamisium tondeo sollicito antiquus confero.,pending
ID-0028,2021-05-07,2100-AR,-6792.31,EUR,Villa caput animus avaritia valens sint circumvenio.,pending
ID-0029,2025-03-03,5000-COGS,41892.66,USD,Degusto turbo suscipit tergeo sollicito atrocitas impedit vorax viduo.,posted
ID-0030,2020-12-27,1000-Cash,22597.99,GBP,Dicta tunc tabella id.,posted
ID-0031,2023-01-19,2000-AP,6502.2,GBP,Repellat temptatio artificiose deinde absque caritas sursum vulgaris alveus.,posted
ID-0032,2024-10-19,2000-AP,5508.5,GBP,Audeo constans terreo iste abscido temptatio adeptio.,posted
ID-0033,2021-03-19,5000-COGS,-13205.93,USD,Cohaero utor vulnus corona.,posted
ID-0034,2024-05-01,5000-COGS,9304.43,EUR,Sub abduco quaerat constans thalassinus aliquam.,posted
ID-0035,2022-11-20,3000-Revenue,-43514.64,EUR,Laudantium pax spes tibi centum tremo deripio.,posted
ID-0036,2020-05-08,2100-AR,28489.7,GBP,Ea decerno arceo complectus damno alienus bos patrocinor tabesco.,reversed
ID-0037,2025-08-07,3000-Revenue,-7875.2,EUR,Angustus cunae tumultus credo mollitia odio audacia conturbo conculco.,posted
ID-0038,2020-02-23,4000-Expense,-22692.92,EUR,Vilicus caveo curtus uter turbo.,posted
ID-0039,2024-10-25,2100-AR,-1703.11,USD,Suscipit derelinquo debilito.,posted
ID-0040,2024-08-05,1000-Cash,11022.52,USD,Solum viscus aegrotatio adstringo cilicium cedo caritas ventus carus.,posted
ID-0041,2024-07-22,2100-AR,27671.06,USD,Ademptio advenio ventus apud exercitationem cunctatio.,posted
ID-0042,2025-05-26,1000-Cash,16378.97,GBP,Video admoveo curatio caveo suus vomica cauda.,posted
ID-0043,2021-03-10,3000-Revenue,-3606.75,GBP,Consectetur amplitudo argentum caelum casso ullam laudantium.,posted
ID-0044,2020-09-08,5000-COGS,22281.43,USD,Illo aggredior defungo deorsum asperiores vinculum ullam sortitus.,posted
ID-0045,2022-06-21,3000-Revenue,4543.19,USD,Timidus degenero admoneo terror baiulus caute asper.,posted
ID-0046,2024-07-16,3000-Revenue,-29511.88,GBP,Usus capitulus defendo voro ter acsi aedificium delectus verbera fugit.,posted
ID-0047,2020-08-19,3000-Revenue,32210.32,EUR,Vobis barba eos cito textus nesciunt reiciendis theologus crustulum.,pending
ID-0048,2023-03-14,1000-Cash,19589.91,GBP,Umquam ventus charisma vorago aqua.,posted
ID-0049,2021-02-07,5000-COGS,15429.26,USD,Possimus agnosco vaco thymbra despecto volaticus.,posted
ID-0050,2025-11-27,4000-Expense,13467.13,USD,Cursus ascisco abundans laborum et super validus ager suus audeo.,pending
ID-0051,2024-11-30,3000-Revenue,21024.28,USD,Trado degenero contabesco depulso tribuo conculco.,posted
ID-0052,2024-04-09,4000-Expense,-39936.26,USD,Conqueror defaeco tamquam soleo.,posted
ID-0053,2022-02-11,5000-COGS,-2871.28,GBP,Antepono spes communis stipes aegrus ater umbra calamitas.,pending
ID-0054,2021-09-04,3000-Revenue,19415.06,EUR,Benevolentia ademptio cognomen solitudo vigilo.,pending
ID-0055,2024-08-06,4000-Expense,16498.49,USD,Speciosus laborum amor dedecor degero urbs incidunt creator voluptatibus amor.,posted
ID-0056,2020-04-02,4000-Expense,41807.66,USD,Claro verbum tego tibi accommodo vivo sursum cogo tricesimus.,posted
ID-0057,2025-03-28,1000-Cash,20368.6,EUR,Carbo abundans delicate.,posted
ID-0058,2023-08-04,2000-AP,-20008.09,GBP,Veniam ulterius sordeo.,posted
ID-0059,2025-05-09,2000-AP,-42103.09,USD,Adeo nostrum vulnero umbra eligendi adversus tripudio patruus amplus.,posted
ID-0060,2025-06-16,4000-Expense,32928.68,GBP,Ea curtus comes dapifer teres pauper vapulus.,posted
